"dgm","model","est","posrate","bias"
"linear","unbiased",0.987996012933998,0.976223027127435,0.0117729858065631
"walk","const",0.623872361268465,0.628135567881082,-0.00426320661261725
"walk","linear",0.632967390465481,0.628135567881082,0.00483182258439907
"walk","walk",0.619485579602216,0.628135567881082,-0.00864998827886632
"walk","unbiased",0.595218234921567,0.628135567881082,-0.0329173329595149
"constant","const",0.451935601074371,0.48063193703429,-0.0286963359599192
"constant","linear",0.465083686440226,0.48063193703429,-0.0155482505940641
"constant","walk",0.450680838842141,0.48063193703429,-0.029951098192149
"constant","unbiased",0.434731573340536,0.48063193703429,-0.0459003636937543
"linear","const",0.661580358720536,0.622893959362867,0.0386863993576694
"linear","linear",0.608258440464321,0.622893959362867,-0.0146355188985456
"linear","walk",0.636855176759527,0.622893959362867,0.0139612173966601
"linear","unbiased",0.613798089225936,0.622893959362867,-0.00909587013693058
"walk","const",0.681064821036543,0.573466791819733,0.10759802921681
"walk","linear",0.599165629355564,0.573466791819733,0.0256988375358312
"walk","walk",0.624020220506975,0.573466791819733,0.0505534286872421
"walk","unbiased",0.61194586133653,0.573466791819733,0.0384790695167975
"constant","const",0.533316816855934,0.577858202998983,-0.0445413861430485
"constant","linear",0.519755760292155,0.577858202998983,-0.0581024427068279
"constant","walk",0.52951735742868,0.577858202998983,-0.0483408455703022
"constant","unbiased",0.506563667372796,0.577858202998983,-0.0712945356261866
"linear","const",0.769540998842437,0.780894765731072,-0.0113537668886354
"linear","linear",0.784953125553005,0.780894765731072,0.0040583598219327
"linear","walk",0.757499957200174,0.780894765731072,-0.0233948085308979
"linear","unbiased",0.718355035491719,0.780894765731072,-0.0625397302393531
"walk","const",0.333807181510272,0.376741628090769,-0.0429344465804972
"walk","linear",0.266165704010798,0.376741628090769,-0.110575924079971
"walk","walk",0.280150547707047,0.376741628090769,-0.0965910803837223
"walk","unbiased",0.273209844660124,0.376741628090769,-0.103531783430645
"constant","const",0.79369628026007,0.794873285459734,-0.00117700519966391
"constant","linear",0.794259080243541,0.794873285459734,-0.00061420521619282
"constant","walk",0.787828664495803,0.794873285459734,-0.0070446209639311
